Date,cases
1/3/2020,0
1/4/2020,0
1/5/2020,0
1/6/2020,0
1/7/2020,0
1/8/2020,0
1/9/2020,0
1/10/2020,0
1/11/2020,0
1/12/2020,0
1/13/2020,0
1/14/2020,0
1/15/2020,0
1/16/2020,0
1/17/2020,0
1/18/2020,0
1/19/2020,0
1/20/2020,0
1/21/2020,0
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,2
1/30/2020,2
1/31/2020,3
2/1/2020,3
2/2/2020,3
2/3/2020,3
2/4/2020,3
2/5/2020,3
2/6/2020,3
2/7/2020,3
2/8/2020,3
2/9/2020,3
2/10/2020,3
2/11/2020,3
2/12/2020,3
2/13/2020,3
2/14/2020,3
2/15/2020,3
2/16/2020,3
2/17/2020,3
2/18/2020,3
2/19/2020,3
2/20/2020,3
2/21/2020,3
2/22/2020,17
2/23/2020,79
2/24/2020,132
2/25/2020,229
2/26/2020,322
2/27/2020,400
2/28/2020,650
2/29/2020,888
3/1/2020,1128
3/2/2020,1689
3/3/2020,2036
3/4/2020,2502
3/5/2020,3089
3/6/2020,3858
3/7/2020,4636
3/8/2020,5883
3/9/2020,7375
3/10/2020,9172
3/11/2020,10149
3/12/2020,12462
3/13/2020,15113
3/14/2020,17660
3/15/2020,21157
3/16/2020,23980
3/17/2020,27980
3/18/2020,31506
3/19/2020,35713
3/20/2020,41035
3/21/2020,47021
3/22/2020,53578
3/23/2020,59138
3/24/2020,63927
3/25/2020,69176
3/26/2020,74386
3/27/2020,80539
3/28/2020,86498
3/29/2020,92472
3/30/2020,97689
3/31/2020,101739
4/1/2020,105792
4/2/2020,110574
4/3/2020,115242
4/4/2020,119827
4/5/2020,124632
4/6/2020,128948
4/7/2020,132547
4/8/2020,135586
4/9/2020,139422
4/10/2020,143626
4/11/2020,147577
4/12/2020,152271
4/13/2020,156363
4/14/2020,159516
4/15/2020,162488
4/16/2020,165155
4/17/2020,168941
4/18/2020,172434
4/19/2020,175925
4/20/2020,178972
4/21/2020,181228
4/22/2020,183957
4/23/2020,187327
4/24/2020,189973
4/25/2020,192994
4/26/2020,195351
4/27/2020,197675
4/28/2020,199414
4/29/2020,201505
4/30/2020,203591
5/1/2020,205463
5/2/2020,207428
5/3/2020,209328
5/4/2020,210717
5/5/2020,211938
5/6/2020,213013
5/7/2020,214457
5/8/2020,215858
5/9/2020,217185
5/10/2020,218268
5/11/2020,219070
5/12/2020,219814
5/13/2020,221216
5/14/2020,222104
5/15/2020,223096
5/16/2020,223885
5/17/2020,224760
5/18/2020,225435
5/19/2020,225886
5/20/2020,226699
5/21/2020,227364
5/22/2020,228006
5/23/2020,228658
5/24/2020,229327
5/25/2020,229858
5/26/2020,230158
5/27/2020,230555
5/28/2020,231139
5/29/2020,231732
5/30/2020,232248
5/31/2020,232664
6/1/2020,233019
6/2/2020,233197
6/3/2020,233515
6/4/2020,233836
6/5/2020,234013
6/6/2020,234531
6/7/2020,234801
6/8/2020,234998
6/9/2020,235278
6/10/2020,235561
6/11/2020,235763
6/12/2020,236142
6/13/2020,236305
6/14/2020,236651
6/15/2020,236989
6/16/2020,237290
6/17/2020,237500
6/18/2020,237828
6/19/2020,238159
6/20/2020,238011
6/21/2020,238275
6/22/2020,238499
6/23/2020,238720
6/24/2020,238833
6/25/2020,239410
6/26/2020,239706
6/27/2020,239961
6/28/2020,240136
6/29/2020,240310
6/30/2020,240436
7/1/2020,240578
7/2/2020,240760
7/3/2020,240961
7/4/2020,241184
7/5/2020,241419
7/6/2020,241611
7/7/2020,241819
7/8/2020,241956
7/9/2020,242149
7/10/2020,242363
7/11/2020,242639
7/12/2020,242827
7/13/2020,243061
7/14/2020,243230
7/15/2020,243344
7/16/2020,243506
7/17/2020,243736
7/18/2020,243967
7/19/2020,244216
7/20/2020,244434
7/21/2020,244624
7/22/2020,244752
7/23/2020,245032
7/24/2020,245338
7/25/2020,245590
7/26/2020,245864
7/27/2020,246118
7/28/2020,246286
7/29/2020,246488
7/30/2020,246776
7/31/2020,247158
8/1/2020,247537
8/2/2020,247832
8/3/2020,248070
8/4/2020,248229
8/5/2020,248419
8/6/2020,248803
8/7/2020,249204
8/8/2020,249756
8/9/2020,250103
8/10/2020,250566
8/11/2020,250825
8/12/2020,251237
8/13/2020,251713
8/14/2020,252235
8/15/2020,252809
8/16/2020,253438
8/17/2020,253915
8/18/2020,254235
8/19/2020,254636
8/20/2020,255278
8/21/2020,256118
8/22/2020,257065
8/23/2020,258136
8/24/2020,259345
8/25/2020,260298
8/26/2020,261174
8/27/2020,262540
8/28/2020,263949
8/29/2020,265409
8/30/2020,266853
8/31/2020,268218
9/1/2020,269214
9/2/2020,270189
9/3/2020,271515
9/4/2020,272912
9/5/2020,274644
9/6/2020,276338
9/7/2020,277634
9/8/2020,278784
9/9/2020,280153
9/10/2020,281583
9/11/2020,283180
9/12/2020,284796
9/13/2020,286297
9/14/2020,287753
9/15/2020,288761
9/16/2020,289990
9/17/2020,291442
9/18/2020,293025
9/19/2020,294932
9/20/2020,296569
9/21/2020,298156
9/22/2020,299506
9/23/2020,300897
9/24/2020,302537
9/25/2020,304323
