Date,cases
1/3/2020,0
1/4/2020,0
1/5/2020,0
1/6/2020,0
1/7/2020,0
1/8/2020,0
1/9/2020,0
1/10/2020,0
1/11/2020,0
1/12/2020,0
1/13/2020,0
1/14/2020,0
1/15/2020,0
1/16/2020,0
1/17/2020,0
1/18/2020,0
1/19/2020,0
1/20/2020,0
1/21/2020,0
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,1
3/5/2020,1
3/6/2020,1
3/7/2020,5
3/8/2020,6
3/9/2020,11
3/10/2020,17
3/11/2020,22
3/12/2020,31
3/13/2020,49
3/14/2020,68
3/15/2020,104
3/16/2020,125
3/17/2020,177
3/18/2020,238
3/19/2020,287
3/20/2020,355
3/21/2020,425
3/22/2020,536
3/23/2020,634
3/24/2020,749
3/25/2020,901
3/26/2020,1051
3/27/2020,1221
3/28/2020,1389
3/29/2020,1638
3/30/2020,1862
3/31/2020,2055
4/1/2020,2311
4/2/2020,2554
4/3/2020,2946
4/4/2020,3383
4/5/2020,3627
4/6/2020,4102
4/7/2020,4413
4/8/2020,4848
4/9/2020,5205
4/10/2020,5575
4/11/2020,5955
4/12/2020,6356
4/13/2020,6674
4/14/2020,6934
4/15/2020,7202
4/16/2020,7582
4/17/2020,7918
4/18/2020,8379
4/19/2020,8742
4/20/2020,9287
4/21/2020,9593
4/22/2020,9856
4/23/2020,10169
4/24/2020,10511
4/25/2020,10892
4/26/2020,11273
4/27/2020,11617
4/28/2020,11902
4/29/2020,12218
4/30/2020,12640
5/1/2020,12877
5/2/2020,13105
5/3/2020,13375
5/4/2020,13693
5/5/2020,14006
5/6/2020,14431
5/7/2020,14740
5/8/2020,15047
5/9/2020,15366
5/10/2020,15651
5/11/2020,15996
5/12/2020,16326
5/13/2020,16921
5/14/2020,17204
5/15/2020,17615
5/16/2020,18016
5/17/2020,18257
5/18/2020,18529
5/19/2020,18885
5/20/2020,19268
5/21/2020,19739
5/22/2020,20143
5/23/2020,20619
5/24/2020,20931
5/25/2020,21326
5/26/2020,21631
5/27/2020,22074
5/28/2020,22473
5/29/2020,22825
5/30/2020,23155
5/31/2020,23571
6/1/2020,23786
6/2/2020,24165
6/3/2020,24395
6/4/2020,24687
6/5/2020,25048
6/6/2020,25419
6/7/2020,25986
6/8/2020,26561
6/9/2020,27160
6/10/2020,27560
6/11/2020,27757
6/12/2020,28201
6/13/2020,28577
6/14/2020,29017
6/15/2020,29392
6/16/2020,29788
6/17/2020,30195
6/18/2020,30701
6/19/2020,31015
6/20/2020,31316
6/21/2020,31620
6/22/2020,31931
6/23/2020,32227
6/24/2020,32527
6/25/2020,32821
6/26/2020,33119
6/27/2020,33395
6/28/2020,33714
6/29/2020,33907
6/30/2020,34154
7/1/2020,34393
7/2/2020,34775
7/3/2020,35146
7/4/2020,35405
7/5/2020,35719
7/6/2020,35950
7/7/2020,36155
7/8/2020,36412
7/9/2020,36689
7/10/2020,36951
7/11/2020,37216
7/12/2020,37521
7/13/2020,37891
7/14/2020,38190
7/15/2020,38457
7/16/2020,38780
7/17/2020,39054
7/18/2020,39407
7/19/2020,39746
7/20/2020,40104
7/21/2020,40383
7/22/2020,40782
7/23/2020,41162
7/24/2020,41580
7/25/2020,42038
7/26/2020,42622
7/27/2020,43065
7/28/2020,43402
7/29/2020,43904
7/30/2020,44416
7/31/2020,45031
8/1/2020,45688
8/2/2020,46346
8/3/2020,46894
8/4/2020,47469
8/5/2020,48149
8/6/2020,48789
8/7/2020,49515
8/8/2020,50324
8/9/2020,51167
8/10/2020,51791
8/11/2020,52410
8/12/2020,52961
8/13/2020,53676
8/14/2020,54487
8/15/2020,55319
8/16/2020,56090
8/17/2020,56684
8/18/2020,57279
8/19/2020,57876
8/20/2020,58611
8/21/2020,59378
8/22/2020,60281
8/23/2020,61181
8/24/2020,61762
8/25/2020,62310
8/26/2020,63073
8/27/2020,63802
8/28/2020,64689
8/29/2020,65480
8/30/2020,66239
8/31/2020,66870
9/1/2020,67372
9/2/2020,67922
9/3/2020,68517
9/4/2020,69129
9/5/2020,69820
9/6/2020,70387
9/7/2020,70824
9/8/2020,71126
9/9/2020,71526
9/10/2020,71947
9/11/2020,72453
9/12/2020,73047
9/13/2020,73650
9/14/2020,74152
9/15/2020,74529
9/16/2020,75134
9/17/2020,75734
9/18/2020,76571
9/19/2020,77328
9/20/2020,78330
9/21/2020,79240
9/22/2020,79988
9/23/2020,80699
9/24/2020,81673
9/25/2020,82809
9/26/2020,84396
9/27/2020,85980
