Date,cases
1/3/2020,0
1/4/2020,0
1/5/2020,0
1/6/2020,0
1/7/2020,0
1/8/2020,0
1/9/2020,0
1/10/2020,0
1/11/2020,0
1/12/2020,0
1/13/2020,0
1/14/2020,0
1/15/2020,0
1/16/2020,0
1/17/2020,0
1/18/2020,0
1/19/2020,0
1/20/2020,0
1/21/2020,0
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,2
2/1/2020,2
2/2/2020,2
2/3/2020,2
2/4/2020,2
2/5/2020,2
2/6/2020,2
2/7/2020,2
2/8/2020,2
2/9/2020,2
2/10/2020,2
2/11/2020,2
2/12/2020,2
2/13/2020,2
2/14/2020,2
2/15/2020,2
2/16/2020,2
2/17/2020,2
2/18/2020,2
2/19/2020,2
2/20/2020,2
2/21/2020,2
2/22/2020,2
2/23/2020,2
2/24/2020,2
2/25/2020,2
2/26/2020,2
2/27/2020,2
2/28/2020,2
2/29/2020,2
3/1/2020,2
3/2/2020,2
3/3/2020,3
3/4/2020,3
3/5/2020,3
3/6/2020,4
3/7/2020,4
3/8/2020,7
3/9/2020,7
3/10/2020,7
3/11/2020,7
3/12/2020,20
3/13/2020,34
3/14/2020,34
3/15/2020,34
3/16/2020,34
3/17/2020,93
3/18/2020,93
3/19/2020,147
3/20/2020,199
3/21/2020,253
3/22/2020,306
3/23/2020,438
3/24/2020,495
3/25/2020,658
3/26/2020,840
3/27/2020,1036
3/28/2020,1264
3/29/2020,1534
3/30/2020,1837
3/31/2020,2337
4/1/2020,2777
4/2/2020,2777
4/3/2020,3548
4/4/2020,4149
4/5/2020,4731
4/6/2020,5389
4/7/2020,6343
4/8/2020,7497
4/9/2020,10131
4/10/2020,11917
4/11/2020,13584
4/12/2020,15770
4/13/2020,18328
4/14/2020,21102
4/15/2020,24490
4/16/2020,27938
4/17/2020,32008
4/18/2020,36793
4/19/2020,42853
4/20/2020,47121
4/21/2020,52763
4/22/2020,57999
4/23/2020,62773
4/24/2020,68622
4/25/2020,74588
4/26/2020,80949
4/27/2020,87147
4/28/2020,93558
4/29/2020,99399
4/30/2020,106498
5/1/2020,114431
5/2/2020,124054
5/3/2020,134687
5/4/2020,145268
5/5/2020,155370
5/6/2020,165929
5/7/2020,177160
5/8/2020,187859
5/9/2020,198676
5/10/2020,209688
5/11/2020,221344
5/12/2020,232243
5/13/2020,242271
5/14/2020,252245
5/15/2020,262843
5/16/2020,272043
5/17/2020,281752
5/18/2020,290678
5/19/2020,299941
5/20/2020,308705
5/21/2020,317554
5/22/2020,326448
5/23/2020,335882
5/24/2020,344481
5/25/2020,353427
5/26/2020,362342
5/27/2020,370680
5/28/2020,379051
5/29/2020,387623
5/30/2020,396575
5/31/2020,405843
6/1/2020,414878
6/2/2020,423741
6/3/2020,432277
6/4/2020,441108
6/5/2020,449834
6/6/2020,458689
6/7/2020,467673
6/8/2020,476658
6/9/2020,485253
6/10/2020,493657
6/11/2020,502436
6/12/2020,511423
6/13/2020,520129
6/14/2020,528964
6/15/2020,537210
6/16/2020,545458
6/17/2020,553301
6/18/2020,561091
6/19/2020,569063
6/20/2020,576952
6/21/2020,584680
6/22/2020,592280
6/23/2020,599705
6/24/2020,606881
6/25/2020,613994
6/26/2020,620794
6/27/2020,627646
6/28/2020,634437
6/29/2020,641156
6/30/2020,647849
7/1/2020,654405
7/2/2020,661165
7/3/2020,667883
7/4/2020,674515
7/5/2020,681251
7/6/2020,687862
7/7/2020,694230
7/8/2020,700792
7/9/2020,707301
7/10/2020,713936
7/11/2020,720547
7/12/2020,727162
7/13/2020,733699
7/14/2020,739947
7/15/2020,746369
7/16/2020,752797
7/17/2020,759203
7/18/2020,765437
7/19/2020,771546
7/20/2020,777486
7/21/2020,783328
7/22/2020,789190
7/23/2020,795038
7/24/2020,800849
7/25/2020,806720
7/26/2020,812485
7/27/2020,818120
7/28/2020,823515
7/29/2020,828990
7/30/2020,834499
7/31/2020,839981
8/1/2020,845443
8/2/2020,850870
8/3/2020,856264
8/4/2020,861423
8/5/2020,866627
8/6/2020,871894
8/7/2020,877135
8/8/2020,882347
8/9/2020,887536
8/10/2020,892654
8/11/2020,897599
8/12/2020,902701
8/13/2020,907758
8/14/2020,912823
8/15/2020,917884
8/16/2020,922853
8/17/2020,927745
8/18/2020,932493
8/19/2020,937321
8/20/2020,942106
8/21/2020,946976
8/22/2020,951897
8/23/2020,956749
8/24/2020,961493
8/25/2020,966189
8/26/2020,970865
8/27/2020,975576
8/28/2020,980405
8/29/2020,985346
8/30/2020,990326
8/31/2020,995319
9/1/2020,1000048
9/2/2020,1005000
9/3/2020,1009995
9/4/2020,1015105
9/5/2020,1020310
9/6/2020,1025505
9/7/2020,1030690
9/8/2020,1035789
9/9/2020,1041007
9/10/2020,1046370
9/11/2020,1051874
9/12/2020,1057362
9/13/2020,1062811
9/14/2020,1068320
9/15/2020,1073849
9/16/2020,1079519
9/17/2020,1085281
9/18/2020,1091186
9/19/2020,1097251
9/20/2020,1103399
9/21/2020,1109595
9/22/2020,1115810
9/23/2020,1122241
9/24/2020,1128836
9/25/2020,1136048
