Date,cases
1/3/2020,0
1/4/2020,0
1/5/2020,0
1/6/2020,0
1/7/2020,0
1/8/2020,0
1/9/2020,0
1/10/2020,0
1/11/2020,0
1/12/2020,0
1/13/2020,0
1/14/2020,0
1/15/2020,0
1/16/2020,0
1/17/2020,0
1/18/2020,0
1/19/2020,0
1/20/2020,0
1/21/2020,0
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,4
2/3/2020,4
2/4/2020,4
2/5/2020,4
2/6/2020,4
2/7/2020,4
2/8/2020,4
2/9/2020,4
2/10/2020,4
2/11/2020,5
2/12/2020,5
2/13/2020,5
2/14/2020,7
2/15/2020,7
2/16/2020,7
2/17/2020,7
2/18/2020,7
2/19/2020,7
2/20/2020,7
2/21/2020,7
2/22/2020,7
2/23/2020,8
2/24/2020,9
2/25/2020,11
2/26/2020,13
2/27/2020,14
2/28/2020,21
2/29/2020,44
3/1/2020,67
3/2/2020,86
3/3/2020,124
3/4/2020,195
3/5/2020,280
3/6/2020,380
3/7/2020,570
3/8/2020,845
3/9/2020,1135
3/10/2020,1504
3/11/2020,2154
3/12/2020,3190
3/13/2020,4536
3/14/2020,6347
3/15/2020,8526
3/16/2020,10558
3/17/2020,12868
3/18/2020,16131
3/19/2020,20613
3/20/2020,25398
3/21/2020,31278
3/22/2020,37805
3/23/2020,43600
3/24/2020,48923
3/25/2020,57129
3/26/2020,66853
3/27/2020,76993
3/28/2020,87109
3/29/2020,96206
3/30/2020,103302
3/31/2020,108393
4/1/2020,116401
4/2/2020,124328
4/3/2020,131387
4/4/2020,138294
4/5/2020,145117
4/6/2020,149787
4/7/2020,152933
4/8/2020,158329
4/9/2020,163653
4/10/2020,169139
4/11/2020,173751
4/12/2020,178189
4/13/2020,181264
4/14/2020,183644
4/15/2020,186770
4/16/2020,190764
4/17/2020,194468
4/18/2020,197886
4/19/2020,201349
4/20/2020,203532
4/21/2020,204977
4/22/2020,207496
4/23/2020,210228
4/24/2020,212998
4/25/2020,215220
4/26/2020,217508
4/27/2020,218804
4/28/2020,219623
4/29/2020,221277
4/30/2020,223018
5/1/2020,224501
5/2/2020,225941
5/3/2020,226735
5/4/2020,227303
5/5/2020,227754
5/6/2020,228768
5/7/2020,229750
5/8/2020,230734
5/9/2020,231695
5/10/2020,232619
5/11/2020,233111
5/12/2020,233429
5/13/2020,234001
5/14/2020,234691
5/15/2020,235467
5/16/2020,236254
5/17/2020,237058
5/18/2020,237404
5/19/2020,237644
5/20/2020,238251
5/21/2020,239076
5/22/2020,239812
5/23/2020,240597
5/24/2020,241389
5/25/2020,241697
5/26/2020,241959
5/27/2020,242495
5/28/2020,243227
5/29/2020,243833
5/30/2020,244481
5/31/2020,245185
6/1/2020,245518
6/2/2020,245694
6/3/2020,246033
6/4/2020,246498
6/5/2020,247077
6/6/2020,247564
6/7/2020,248204
6/8/2020,248461
6/9/2020,248603
6/10/2020,248936
6/11/2020,249368
6/12/2020,249808
6/13/2020,250182
6/14/2020,250665
6/15/2020,250788
6/16/2020,250873
6/17/2020,251160
6/18/2020,251543
6/19/2020,251885
6/20/2020,252244
6/21/2020,252585
6/22/2020,252813
6/23/2020,252979
6/24/2020,253221
6/25/2020,253653
6/26/2020,253991
6/27/2020,254351
6/28/2020,254829
6/29/2020,255083
6/30/2020,255272
7/1/2020,255548
7/2/2020,255995
7/3/2020,256448
7/4/2020,256936
7/5/2020,257531
7/6/2020,257827
7/7/2020,258033
7/8/2020,258378
7/9/2020,259092
7/10/2020,259835
7/11/2020,260681
7/12/2020,261826
7/13/2020,262454
7/14/2020,262840
7/15/2020,263684
7/16/2020,264937
7/17/2020,266496
7/18/2020,268135
7/19/2020,270223
7/20/2020,271749
7/21/2020,272947
7/22/2020,274528
7/23/2020,276879
7/24/2020,279248
7/25/2020,281620
7/26/2020,284446
7/27/2020,286162
7/28/2020,287628
7/29/2020,289642
7/30/2020,292537
7/31/2020,295661
8/1/2020,299052
8/2/2020,302830
8/3/2020,306024
8/4/2020,307927
8/5/2020,310594
8/6/2020,315024
8/7/2020,319314
8/8/2020,324213
8/9/2020,329866
8/10/2020,333404
8/11/2020,336058
8/12/2020,339904
8/13/2020,345896
8/14/2020,352296
8/15/2020,359344
8/16/2020,367722
8/17/2020,372578
8/18/2020,375911
8/19/2020,380925
8/20/2020,389400
8/21/2020,398052
8/22/2020,407045
8/23/2020,417521
8/24/2020,423647
8/25/2020,427967
8/26/2020,433969
8/27/2020,444296
8/28/2020,454602
8/29/2020,464932
8/30/2020,476896
8/31/2020,483791
9/1/2020,488992
9/2/2020,495652
9/3/2020,506084
9/4/2020,516804
9/5/2020,527762
9/6/2020,540931
9/7/2020,548841
9/8/2020,554355
9/9/2020,561378
9/10/2020,573329
9/11/2020,586109
9/12/2020,599099
9/13/2020,613522
9/14/2020,621853
9/15/2020,628300
9/16/2020,636477
9/17/2020,650310
9/18/2020,664355
9/19/2020,678166
9/20/2020,694950
9/21/2020,703331
9/22/2020,709205
9/23/2020,717227
9/24/2020,730087
9/25/2020,742851
9/26/2020,755544
