Date,cases
1/3/2020,0
1/4/2020,0
1/5/2020,0
1/6/2020,0
1/7/2020,0
1/8/2020,0
1/9/2020,0
1/10/2020,0
1/11/2020,0
1/12/2020,0
1/13/2020,0
1/14/2020,0
1/15/2020,0
1/16/2020,0
1/17/2020,0
1/18/2020,0
1/19/2020,0
1/20/2020,0
1/21/2020,0
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,0
3/7/2020,0
3/8/2020,0
3/9/2020,0
3/10/2020,0
3/11/2020,1
3/12/2020,1
3/13/2020,1
3/14/2020,5
3/15/2020,6
3/16/2020,18
3/17/2020,47
3/18/2020,98
3/19/2020,191
3/20/2020,191
3/21/2020,670
3/22/2020,947
3/23/2020,1236
3/24/2020,1529
3/25/2020,1872
3/26/2020,2433
3/27/2020,3629
3/28/2020,5698
3/29/2020,7402
3/30/2020,9271
3/31/2020,10827
4/1/2020,13531
4/2/2020,15679
4/3/2020,18135
4/4/2020,20921
4/5/2020,23934
4/6/2020,27069
4/7/2020,30217
4/8/2020,34109
4/9/2020,38226
4/10/2020,42282
4/11/2020,47029
4/12/2020,52167
4/13/2020,56956
4/14/2020,61049
4/15/2020,65111
4/16/2020,69392
4/17/2020,74193
4/18/2020,78546
4/19/2020,82329
4/20/2020,86306
4/21/2020,90980
4/22/2020,95591
4/23/2020,98674
4/24/2020,101790
4/25/2020,104912
4/26/2020,107773
4/27/2020,110130
4/28/2020,112261
4/29/2020,114653
4/30/2020,117589
5/1/2020,120204
5/2/2020,122392
5/3/2020,124375
5/4/2020,126045
5/5/2020,127659
5/6/2020,129491
5/7/2020,131744
5/8/2020,133721
5/9/2020,135569
5/10/2020,137115
5/11/2020,138657
5/12/2020,139771
5/13/2020,141475
5/14/2020,143114
5/15/2020,144749
5/16/2020,146457
5/17/2020,148067
5/18/2020,149435
5/19/2020,150593
5/20/2020,151615
5/21/2020,152587
5/22/2020,153548
5/23/2020,154500
5/24/2020,155686
5/25/2020,156827
5/26/2020,157814
5/27/2020,158762
5/28/2020,159797
5/29/2020,160979
5/30/2020,162120
5/31/2020,163103
6/1/2020,163942
6/2/2020,164769
6/3/2020,165555
6/4/2020,166422
6/5/2020,167410
6/6/2020,168340
6/7/2020,169218
6/8/2020,170132
6/9/2020,171121
6/10/2020,172114
6/11/2020,173036
6/12/2020,174023
6/13/2020,175218
6/14/2020,176677
6/15/2020,178239
6/16/2020,179831
6/17/2020,181298
6/18/2020,182727
6/19/2020,184031
6/20/2020,185245
6/21/2020,186493
6/22/2020,187685
6/23/2020,188897
6/24/2020,190165
6/25/2020,191657
6/26/2020,193115
6/27/2020,194511
6/28/2020,195883
6/29/2020,197239
6/30/2020,198613
7/1/2020,199906
7/2/2020,201098
7/3/2020,202284
7/4/2020,203456
7/5/2020,204610
7/6/2020,205758
7/7/2020,206844
7/8/2020,207897
7/9/2020,208938
7/10/2020,209962
7/11/2020,210965
7/12/2020,211981
7/13/2020,212993
7/14/2020,214001
7/15/2020,214993
7/16/2020,215940
7/17/2020,216873
7/18/2020,217799
7/19/2020,218717
7/20/2020,219641
7/21/2020,220572
7/22/2020,221500
7/23/2020,222402
7/24/2020,223315
7/25/2020,224252
7/26/2020,225173
7/27/2020,226100
7/28/2020,227019
7/29/2020,234712
7/30/2020,242384
7/31/2020,250081
8/1/2020,257793
8/2/2020,265519
8/3/2020,273236
8/4/2020,280961
8/5/2020,288774
8/6/2020,296682
8/7/2020,304565
8/8/2020,312480
8/9/2020,320382
8/10/2020,328294
8/11/2020,336217
8/12/2020,344130
8/13/2020,352072
8/14/2020,360045
8/15/2020,368001
8/16/2020,375987
8/17/2020,383909
8/18/2020,391872
8/19/2020,399865
8/20/2020,407898
8/21/2020,416040
8/22/2020,423973
8/23/2020,432012
8/24/2020,439959
8/25/2020,448132
8/26/2020,456364
8/27/2020,464407
8/28/2020,472628
8/29/2020,480875
8/30/2020,489154
8/31/2020,497366
9/1/2020,505683
9/2/2020,513985
9/3/2020,522311
9/4/2020,530683
9/5/2020,539025
9/6/2020,547428
9/7/2020,555736
9/8/2020,564169
9/9/2020,572660
9/10/2020,581063
9/11/2020,589305
9/12/2020,597706
9/13/2020,605945
9/14/2020,614202
9/15/2020,622648
9/16/2020,631120
9/17/2020,639621
9/18/2020,647999
9/19/2020,656500
9/20/2020,664768
9/21/2020,673017
9/22/2020,681490
9/23/2020,689912
9/24/2020,698409
9/25/2020,706860
9/26/2020,715255
9/27/2020,723496
