Date,cases
1/3/2020,0
1/4/2020,0
1/5/2020,0
1/6/2020,0
1/7/2020,0
1/8/2020,0
1/9/2020,0
1/10/2020,0
1/11/2020,0
1/12/2020,0
1/13/2020,0
1/14/2020,0
1/15/2020,0
1/16/2020,0
1/17/2020,0
1/18/2020,0
1/19/2020,0
1/20/2020,5
1/21/2020,5
1/22/2020,5
1/23/2020,5
1/24/2020,6
1/25/2020,6
1/26/2020,9
1/27/2020,9
1/28/2020,9
1/29/2020,9
1/30/2020,10
1/31/2020,11
2/1/2020,12
2/2/2020,12
2/3/2020,14
2/4/2020,15
2/5/2020,15
2/6/2020,16
2/7/2020,16
2/8/2020,16
2/9/2020,16
2/10/2020,16
2/11/2020,17
2/12/2020,17
2/13/2020,18
2/14/2020,19
2/15/2020,19
2/16/2020,19
2/17/2020,19
2/18/2020,19
2/19/2020,19
2/20/2020,19
2/21/2020,38
2/22/2020,39
2/23/2020,39
2/24/2020,57
2/25/2020,57
2/26/2020,63
2/27/2020,63
2/28/2020,66
2/29/2020,66
3/1/2020,66
3/2/2020,68
3/3/2020,68
3/4/2020,133
3/5/2020,133
3/6/2020,217
3/7/2020,217
3/8/2020,217
3/9/2020,476
3/10/2020,700
3/11/2020,700
3/12/2020,991
3/13/2020,1268
3/14/2020,1682
3/15/2020,1718
3/16/2020,1718
3/17/2020,3540
3/18/2020,4360
3/19/2020,10442
3/20/2020,15219
3/21/2020,15219
3/22/2020,15219
3/23/2020,31573
3/24/2020,42164
3/25/2020,51914
3/26/2020,63570
3/27/2020,68334
3/28/2020,85228
3/29/2020,103321
3/30/2020,122653
3/31/2020,140640
4/1/2020,163199
4/2/2020,187302
4/3/2020,213600
4/4/2020,241703
4/5/2020,273808
4/6/2020,307318
4/7/2020,333811
4/8/2020,363321
4/9/2020,395030
4/10/2020,425889
4/11/2020,461275
4/12/2020,492881
4/13/2020,524514
4/14/2020,553822
4/15/2020,578268
4/16/2020,604070
4/17/2020,632781
4/18/2020,665330
4/19/2020,695353
4/20/2020,723605
4/21/2020,751273
4/22/2020,776907
4/23/2020,800926
4/24/2020,830053
4/25/2020,860772
4/26/2020,899281
4/27/2020,931698
4/28/2020,960916
4/29/2020,983457
4/30/2020,1003974
5/1/2020,1035353
5/2/2020,1067127
5/3/2020,1093880
5/4/2020,1125719
5/5/2020,1154985
5/6/2020,1171185
5/7/2020,1193452
5/8/2020,1215571
5/9/2020,1245775
5/10/2020,1271645
5/11/2020,1298287
5/12/2020,1322054
5/13/2020,1340098
5/14/2020,1361522
5/15/2020,1382362
5/16/2020,1409452
5/17/2020,1432265
5/18/2020,1464232
5/19/2020,1477459
5/20/2020,1501876
5/21/2020,1525186
5/22/2020,1547973
5/23/2020,1568448
5/24/2020,1592599
5/25/2020,1618757
5/26/2020,1634010
5/27/2020,1658896
5/28/2020,1675258
5/29/2020,1694864
5/30/2020,1716078
5/31/2020,1734040
6/1/2020,1757522
6/2/2020,1783638
6/3/2020,1798330
6/4/2020,1823220
6/5/2020,1837803
6/6/2020,1857872
6/7/2020,1886794
6/8/2020,1915712
6/9/2020,1933560
6/10/2020,1951096
6/11/2020,1968331
6/12/2020,1988646
6/13/2020,2010391
6/14/2020,2032524
6/15/2020,2057838
6/16/2020,2079592
6/17/2020,2098106
6/18/2020,2126027
6/19/2020,2149166
6/20/2020,2172212
6/21/2020,2208829
6/22/2020,2241178
6/23/2020,2268753
6/24/2020,2295272
6/25/2020,2329463
6/26/2020,2367064
6/27/2020,2407590
6/28/2020,2452048
6/29/2020,2496628
6/30/2020,2537636
7/1/2020,2573393
7/2/2020,2616949
7/3/2020,2671220
7/4/2020,2724433
7/5/2020,2776366
7/6/2020,2833552
7/7/2020,2877238
7/8/2020,2923432
7/9/2020,2973695
7/10/2020,3038325
7/11/2020,3097300
7/12/2020,3163581
7/13/2020,3225950
7/14/2020,3286063
7/15/2020,3344783
7/16/2020,3405494
7/17/2020,3472659
7/18/2020,3544143
7/19/2020,3618497
7/20/2020,3685460
7/21/2020,3748248
7/22/2020,3805524
7/23/2020,3868453
7/24/2020,3938094
7/25/2020,4009808
7/26/2020,4084043
7/27/2020,4148011
7/28/2020,4209509
7/29/2020,4263531
7/30/2020,4323160
7/31/2020,4388566
8/1/2020,4456389
8/2/2020,4523888
8/3/2020,4582276
8/4/2020,4629459
8/5/2020,4678610
8/6/2020,4728239
8/7/2020,4781612
8/8/2020,4836930
8/9/2020,4897958
8/10/2020,4951851
8/11/2020,4999815
8/12/2020,5039709
8/13/2020,5094500
8/14/2020,5150407
8/15/2020,5203206
8/16/2020,5258565
8/17/2020,5312940
8/18/2020,5354013
8/19/2020,5393138
8/20/2020,5431046
8/21/2020,5477305
8/22/2020,5521257
8/23/2020,5567217
8/24/2020,5612163
8/25/2020,5649928
8/26/2020,5682811
8/27/2020,5719841
8/28/2020,5765325
8/29/2020,5811519
8/30/2020,5855521
8/31/2020,5899504
9/1/2020,5936572
9/2/2020,5968380
9/3/2020,6011042
9/4/2020,6050444
9/5/2020,6095007
9/6/2020,6144138
9/7/2020,6189488
9/8/2020,6222974
9/9/2020,6248989
9/10/2020,6272193
9/11/2020,6304181
9/12/2020,6341309
