Date,cases
1/3/2020,0
1/4/2020,0
1/5/2020,0
1/6/2020,0
1/7/2020,0
1/8/2020,0
1/9/2020,0
1/10/2020,0
1/11/2020,0
1/12/2020,0
1/13/2020,0
1/14/2020,0
1/15/2020,0
1/16/2020,0
1/17/2020,0
1/18/2020,0
1/19/2020,0
1/20/2020,0
1/21/2020,0
1/22/2020,0
1/23/2020,0
1/24/2020,3
1/25/2020,3
1/26/2020,3
1/27/2020,3
1/28/2020,3
1/29/2020,4
1/30/2020,5
1/31/2020,6
2/1/2020,6
2/2/2020,6
2/3/2020,6
2/4/2020,6
2/5/2020,6
2/6/2020,6
2/7/2020,6
2/8/2020,11
2/9/2020,11
2/10/2020,11
2/11/2020,11
2/12/2020,11
2/13/2020,11
2/14/2020,11
2/15/2020,11
2/16/2020,11
2/17/2020,12
2/18/2020,12
2/19/2020,12
2/20/2020,12
2/21/2020,12
2/22/2020,12
2/23/2020,12
2/24/2020,12
2/25/2020,12
2/26/2020,14
2/27/2020,17
2/28/2020,38
2/29/2020,57
3/1/2020,100
3/2/2020,123
3/3/2020,171
3/4/2020,205
3/5/2020,278
3/6/2020,416
3/7/2020,595
3/8/2020,698
3/9/2020,1108
3/10/2020,1394
3/11/2020,1765
3/12/2020,2262
3/13/2020,2848
3/14/2020,3618
3/15/2020,4436
3/16/2020,5359
3/17/2020,6557
3/18/2020,7627
3/19/2020,9004
3/20/2020,10850
3/21/2020,12445
3/22/2020,14292
3/23/2020,15821
3/24/2020,19615
3/25/2020,22025
3/26/2020,24920
3/27/2020,28786
3/28/2020,32534
3/29/2020,37145
3/30/2020,39636
3/31/2020,43977
4/1/2020,51477
4/2/2020,56261
4/3/2020,58327
4/4/2020,63536
4/5/2020,67757
4/6/2020,69607
4/7/2020,73488
4/8/2020,77225
4/9/2020,81094
4/10/2020,85350
4/11/2020,89683
4/12/2020,92787
4/13/2020,94382
4/14/2020,97051
4/15/2020,102534
4/16/2020,105155
4/17/2020,107778
4/18/2020,108163
4/19/2020,110721
4/20/2020,111463
4/21/2020,113513
4/22/2020,116151
4/23/2020,117961
4/24/2020,119584
4/25/2020,121339
4/26/2020,122876
4/27/2020,123280
4/28/2020,124440
4/29/2020,125465
4/30/2020,127066
5/1/2020,128121
5/2/2020,128722
5/3/2020,129458
5/4/2020,129708
5/5/2020,130242
5/6/2020,131292
5/7/2020,135468
5/8/2020,135980
5/9/2020,136578
5/10/2020,137008
5/11/2020,137073
5/12/2020,137491
5/13/2020,138161
5/14/2020,138609
5/15/2020,139152
5/16/2020,139646
5/17/2020,140008
5/18/2020,140036
5/19/2020,140497
5/20/2020,140959
5/21/2020,141312
5/22/2020,141590
5/23/2020,141949
5/24/2020,142173
5/25/2020,142204
5/26/2020,142482
5/27/2020,142704
5/28/2020,142852
5/29/2020,146122
5/30/2020,146657
5/31/2020,148436
6/1/2020,148524
6/2/2020,148775
6/3/2020,148009
6/4/2020,148263
6/5/2020,148941
6/6/2020,149495
6/7/2020,150022
6/8/2020,150315
6/9/2020,150413
6/10/2020,150748
6/11/2020,151165
6/12/2020,151503
6/13/2020,152067
6/14/2020,152460
6/15/2020,152767
6/16/2020,152819
6/17/2020,153045
6/18/2020,153356
6/19/2020,153557
6/20/2020,154141
6/21/2020,154562
6/22/2020,154567
6/23/2020,154892
6/24/2020,155256
6/25/2020,155337
6/26/2020,155337
6/27/2020,156156
6/28/2020,156156
6/29/2020,156156
6/30/2020,156887
7/1/2020,157194
7/2/2020,157806
7/3/2020,158286
7/4/2020,158734
7/5/2020,158734
7/6/2020,158734
7/7/2020,159568
7/8/2020,159909
7/9/2020,160279
7/10/2020,160783
7/11/2020,161275
7/12/2020,161275
7/13/2020,161275
7/14/2020,162390
7/15/2020,162390
7/16/2020,163157
7/17/2020,163550
7/18/2020,164247
7/19/2020,164247
7/20/2020,164247
7/21/2020,166057
7/22/2020,166511
7/23/2020,167456
7/24/2020,168291
7/25/2020,169222
7/26/2020,169222
7/27/2020,169222
7/28/2020,171476
7/29/2020,172148
7/30/2020,173409
7/31/2020,174648
8/1/2020,175920
8/2/2020,175920
8/3/2020,175920
8/4/2020,179072
8/5/2020,180037
8/6/2020,181652
8/7/2020,183172
8/8/2020,185353
8/9/2020,185353
8/10/2020,185353
8/11/2020,189972
8/12/2020,191265
8/13/2020,193694
8/14/2020,196209
8/15/2020,198876
8/16/2020,202118
8/17/2020,205065
8/18/2020,205380
8/19/2020,207545
8/20/2020,211225
8/21/2020,215913
8/22/2020,220309
8/23/2020,223419
8/24/2020,228224
8/25/2020,230066
8/26/2020,233293
8/27/2020,238291
8/28/2020,244254
8/29/2020,251516
8/30/2020,256829
8/31/2020,261955
9/1/2020,264953
9/2/2020,269718
9/3/2020,276466
9/4/2020,283265
9/5/2020,292125
9/6/2020,300511
9/7/2020,307472
9/8/2020,311587
9/9/2020,317106
9/10/2020,325400
9/11/2020,335085
9/12/2020,344345
9/13/2020,353986
9/14/2020,361087
9/15/2020,366980
9/16/2020,374700
9/17/2020,383838
9/18/2020,394306
9/19/2020,407390
9/20/2020,420855
9/21/2020,432424
9/22/2020,436481
9/23/2020,445402
9/24/2020,458136
9/25/2020,474204
9/26/2020,489776
